,Race - Other,Race - Multiracial,Race - Prefer not to answer,Race - American Indian or Alaska Native,Race - Asian or Pacific Islander,Race - Black or African American,Race - White or Caucasian,Ethnicity,Gender,Sexual Orientation,Hometown,What is the highest level of education someone in your immediate family (Mom/Dad/Brother/Sister) has completed?,What is your family's approximate yearly income (in US Dolllars)?,Academic Stage
maycha-001,False,False,False,False,True,False,False,Not Hispanic or Latino,Female ,Heterosexual,"Suburban town (10,000 - 50,000 people)",Bachelor’s degree,"$100,000 - $149,999",College sophomore
megkat-001,False,False,False,False,True,False,False,Not Hispanic or Latino,Female ,Heterosexual,"Large City (>150,000 people)","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","More than $150,000",College sophomore
ekeeno-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Male,Heterosexual,"Small City (50,000 - 150,000 people)",Bachelor’s degree,"More than $150,000",College senior
adisha-001,False,False,False,False,True,False,False,Not Hispanic or Latino,Male,Heterosexual,"Small town (2,500 - 10,000 people)",Prefer not to say,"More than $150,000",College freshman
ashalc-001,False,False,True,False,False,False,False,Hispanic or Latino,Female ,Heterosexual,"Small town (2,500 - 10,000 people)",Some high school or less,"$100,000 - $149,999",College junior
sieput-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Female ,Prefer not to answer,"Small town (2,500 - 10,000 people)","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","Less than $10,000",College junior
maydua-001,False,True,False,False,True,False,True,Hispanic or Latino,Female,Bisexual,"Small City (50,000 - 150,000 people)",High school diploma or GED,"$60,000 - $69,999",College freshman
julbur-001,False,True,False,False,True,False,True,Hispanic or Latino,Male,Heterosexual,"Suburban town (10,000 - 50,000 people)","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","More than $150,000",College senior
marbou-001,False,True,False,False,True,False,True,Hispanic or Latino,Female ,Heterosexual,"Small City (50,000 - 150,000 people)",Bachelor’s degree,"More than $150,000",College sophomore
jorjac-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Female ,Heterosexual,"Small City (50,000 - 150,000 people)","Some college, but no degree","$60,000 - $69,999",College senior
